dia,ejercicio,series,rangoMin,rangoMax,tipoPeso,barraFija,carga,incremento,rir,grupomuscular,orden
1,Sentadilla con barra,3,8,10,total,,60,2.5,2,Cuádriceps,1
1,Press banca con barra,3,8,10,total,,50,2.5,2,Pecho,2
1,Remo con barra,3,8,10,total,,45,2.5,2,Espalda,3
1,Press militar con barra,3,8,10,total,,25,2.5,2,Hombro,4
1,Curl con barra recta,2,10,12,total,,15,2,2,Bíceps,5
1,Extensión de tríceps en polea,2,10,12,total,,15,2,2,Tríceps,6
3,Peso muerto rumano,3,8,10,total,,60,2.5,2,Glúteo / Isquiotibiales,1
3,Press inclinado con mancuernas,3,8,12,porLado,,16,2,2,Pecho,2
3,Jalón al pecho,3,8,12,total,,45,5,2,Espalda,3
3,Elevaciones laterales,3,12,15,porLado,,6,1,2,Hombro,4
3,Curl femoral tumbado,3,10,12,total,,25,2,2,Glúteo / Isquiotibiales,5
3,Plancha abdominal,3,10,15,total,,0,0,3,Core,6
5,Prensa de piernas,3,10,12,total,,100,2.5,2,Cuádriceps,1
5,Dominadas,3,8,10,total,,0,2.5,2,Espalda,2
5,Press militar sentado,3,8,10,total,,25,2.5,2,Hombro,3
5,Remo en polea baja,3,10,12,total,,35,5,2,Espalda,4
5,Curl martillo,2,10,12,porLado,,8,2,2,Bíceps,5
5,Pallof press,3,10,15,total,,0,0,3,Core,6
